ensg	hgnc	chrom	obs_lof	exp_lof	prior_mean	post_mean	post_lower_95	post_upper_95
ENSG00000174080	HGNC:2531	chr11	22.0	26.154	0.00291475	0.00185586	0.00010705	0.00656905
ENSG00000184148	HGNC:23173	chr1	2.0	2.7996	0.00212797	0.00185656	1.605e-05	0.00842005
ENSG00000088888	HGNC:29233	chr20	11.0	14.043	0.0045245	0.00185661	9.705e-05	0.00641605
ENSG00000177294	HGNC:28565	chr17	9.0	15.79	0.0023893	0.00185737	3.705e-05	0.00811705
ENSG00000198039	HGNC:13067	chr7	3.0	5.7057	0.00192728	0.00185745	3.105e-05	0.00786605
ENSG00000257446	HGNC:37246	chr19	2.0	4.3724	0.00232834	0.00185749	3.405e-05	0.00801205
ENSG00000151365	HGNC:11800	chr11	4.0	4.9594	0.00388842	0.00185765	4.605e-05	0.00763905
ENSG00000164849	HGNC:21718	chr7	2.0	5.9339	0.00286632	0.00185883	3.305e-05	0.00814305
ENSG00000171649	HGNC:33104	chr19	6.0	4.3737	0.00433683	0.00185992	0.00010905	0.00648605
ENSG00000177409	HGNC:1349	chr7	32.0	54.899	0.00463144	0.00186096	0.00015505	0.00534905
ENSG00000163832	HGNC:25976	chr3	7.0	12.396	0.00389762	0.00186107	9.605e-05	0.00662205
ENSG00000109881	HGNC:25079	chr11	11.0	17.794	0.00354714	0.00186111	7.605e-05	0.00701305
ENSG00000138092	HGNC:28152	chr2	15.0	17.818	0.00279473	0.00186153	6.705e-05	0.00715705
ENSG00000166405	HGNC:30338	chr11	11.0	16.023	0.00279176	0.00186325	0.00012605	0.00640105
ENSG00000064545	HGNC:26020	chr19	14.0	26.642	0.00223072	0.00186326	8.105e-05	0.00694505
ENSG00000278845	HGNC:16651	chr17	10.0	18.522	0.003839	0.001864	4.305e-05	0.00750805
ENSG00000090382	HGNC:6740	chr12	8.0	7.4095	0.01028728	0.00186426	0.00020405	0.00547805
ENSG00000121691	HGNC:1516	chr11	19.0	26.442	0.0032537	0.00186502	0.00019805	0.00573305
ENSG00000186448	HGNC:12988	chr3	25.0	36.798	0.0032266	0.00186531	0.00015905	0.00585805
ENSG00000124104	HGNC:16154	chr20	11.0	12.545	0.00233874	0.00186557	6.905e-05	0.00742305
ENSG00000081842	HGNC:8672	chr5	20.0	27.238	0.00258731	0.00186644	6.305e-05	0.00723205
ENSG00000129696	HGNC:26262	chr8	13.0	19.778	0.00183409	0.00186696	4.605e-05	0.00808705
ENSG00000234776	HGNC:37213	chr11	2.0	2.9888	0.00215393	0.00186698	1.705e-05	0.00831705
ENSG00000082196	HGNC:14326	chr5	12.0	15.181	0.00313835	0.00186741	6.305e-05	0.00728905
ENSG00000024862	HGNC:21098	chr6	14.0	13.112	0.00537775	0.0018684	0.00013005	0.00613005
ENSG00000101474	HGNC:13238	chr20	17.0	19.711	0.00264723	0.00186906	0.00011905	0.00646005
ENSG00000118292	HGNC:26258	chr1	6.0	7.3133	0.00296299	0.00186956	3.905e-05	0.00802905
ENSG00000144468	HGNC:23081	chr2	17.0	14.62	0.00375948	0.00186963	0.00016505	0.00597605
ENSG00000196187	HGNC:29118	chr1	26.0	43.235	0.00239121	0.00187023	0.00016605	0.00597705
ENSG00000183230	HGNC:2511	chr10	26.0	42.446	0.00326182	0.00187084	0.00028405	0.00512205
ENSG00000167588	HGNC:4455	chr12	6.0	14.192	0.0021552	0.00187171	6.205e-05	0.00753305
ENSG00000126453	HGNC:13787	chr19	14.0	15.869	0.00296082	0.00187308	7.205e-05	0.00711005
ENSG00000163687	HGNC:2959	chr3	9.0	13.979	0.00233651	0.00187313	5.505e-05	0.00775805
ENSG00000136840	HGNC:17846	chr9	11.0	13.109	0.00626858	0.00187361	0.00014205	0.00602405
ENSG00000205560	HGNC:2329	chr22	24.0	40.825	0.00413488	0.00187705	0.00015905	0.00577705
ENSG00000176605	HGNC:26375	chr14	2.0	2.3475	0.00456625	0.00187852	1.205e-05	0.00866605
ENSG00000090263	HGNC:16634	chr7	4.0	5.3649	0.00516306	0.0018795	5.705e-05	0.00728405
ENSG00000141562	HGNC:29916	chr17	20.0	22.578	0.00283811	0.00188037	0.00016705	0.00603905
ENSG00000127831	HGNC:12690	chr2	29.0	45.938	0.00197868	0.00188087	0.00013605	0.00641605
ENSG00000139372	HGNC:11700	chr12	9.0	21.242	0.05253692	0.00188195	0.00016305	0.00925305
ENSG00000178202	HGNC:28496	chr11	18.0	22.813	0.0051779	0.00188252	0.00021405	0.00540105
ENSG00000196284	HGNC:11466	chr6	18.0	21.214	0.00624146	0.00188329	0.00025305	0.00519205
ENSG00000145014	HGNC:25120	chr3	23.0	22.543	0.00204153	0.00188335	0.00011605	0.00688205
ENSG00000105559	HGNC:14339	chr19	26.0	43.911	0.00216901	0.00188348	9.305e-05	0.00701205
ENSG00000255524	HGNC:37490	chr16	3.0	2.1731	0.00183947	0.00188361	1.205e-05	0.00733705
ENSG00000105852	HGNC:9206	chr7	12.0	15.407	0.00250335	0.00188457	0.00010905	0.00684105
ENSG00000179698	HGNC:26959	chr8	47.0	69.516	0.00189484	0.00188501	2.105e-05	0.00742905
ENSG00000131153	HGNC:24575	chr16	11.0	9.2953	0.00342752	0.00188657	6.205e-05	0.00746105
ENSG00000162688	HGNC:321	chr1	57.0	89.384	0.00205839	0.00188664	0.00034805	0.00480305
ENSG00000137106	HGNC:4570	chr9	12.0	16.691	0.00408831	0.00188679	0.00016205	0.00600705
ENSG00000197951	HGNC:13141	chr19	14.0	17.957	0.00393467	0.00188701	0.00010605	0.00655005
ENSG00000235098	HGNC:42950	chr1	10.0	5.3394	0.00509615	0.00188763	7.405e-05	0.00708605
ENSG00000110680	HGNC:1437	chr11	3.0	4.5566	0.00328478	0.00188864	3.905e-05	0.00804805
ENSG00000104918	HGNC:20389	chr19	2.0	2.6794	0.00220391	0.0018888	3.005e-05	0.00807305
ENSG00000168904	HGNC:28355	chr15	18.0	20.639	0.00262272	0.00188994	0.00016005	0.00622405
ENSG00000198874	HGNC:25598	chr7	23.0	43.207	0.00207878	0.00189068	0.00019805	0.00581305
ENSG00000072163	HGNC:16084	chr2	10.0	19.274	0.00302367	0.00189124	0.00011505	0.00658405
ENSG00000178878	HGNC:25268	chr12	6.0	6.279	0.00676938	0.00189282	6.305e-05	0.00719105
ENSG00000007908	HGNC:10718	chr1	20.0	33.774	0.00188327	0.00189287	5.205e-05	0.00780305
ENSG00000006530	HGNC:21869	chr7	18.0	30.397	0.00205364	0.00189305	0.00012105	0.00657205
ENSG00000262209	HGNC:8710	chr5	15.0	26.242	0.00327177	0.00189315	5.105e-05	0.00764605
ENSG00000166926	HGNC:14285	chr11	3.0	5.8727	0.00156211	0.00189383	1.705e-05	0.00813705
ENSG00000189409	HGNC:7171	chr1	1.0	1.506	0.00188648	0.00189467	5.205e-05	0.00733105
ENSG00000053524	HGNC:30319	chr3	48.0	67.523	0.00174283	0.00189484	0.00010505	0.00653705
ENSG00000165805	HGNC:26665	chr12	15.0	28.77	0.00190132	0.00189504	3.505e-05	0.00744805
ENSG00000163394	HGNC:1570	chr4	6.0	13.366	0.00293052	0.00189631	7.605e-05	0.00719105
ENSG00000213088	HGNC:4035	chr1	6.0	7.1881	0.00332104	0.00189648	3.905e-05	0.00811705
ENSG00000111203	HGNC:30879	chr12	16.0	25.547	0.00288556	0.00189695	0.00018305	0.00589305
ENSG00000183621	HGNC:21029	chr10	11.0	16.448	0.00567696	0.00189808	0.00017305	0.00596505
ENSG00000179528	HGNC:15525	chr2	4.0	6.2435	0.00339312	0.0018982	4.805e-05	0.00785905
ENSG00000182670	HGNC:12393	chr21	78.0	106.42	0.0402183	0.00189862	0.00037105	0.00443805
ENSG00000129810	HGNC:25088	chr3	20.0	23.718	0.0030474	0.00190023	7.005e-05	0.00733105
ENSG00000132031	HGNC:6909	chr2	14.0	17.518	0.0035597	0.00190041	6.605e-05	0.00730605
ENSG00000204538	HGNC:17199	chr6	4.0	4.691	0.00425285	0.0019005	3.005e-05	0.00825805
ENSG00000081041	HGNC:4603	chr4	8.0	4.7581	0.00357955	0.00190055	4.005e-05	0.00802205
ENSG00000185056	HGNC:27026	chr5	9.0	6.0478	0.00194562	0.00190127	1.605e-05	0.00745805
ENSG00000131730	HGNC:1996	chr5	25.0	23.684	0.0074557	0.00190203	0.00041105	0.00450505
ENSG00000213186	HGNC:30834	chr3	7.0	15.036	0.00340477	0.00190228	0.00011005	0.00662705
ENSG00000117448	HGNC:380	chr1	12.0	17.349	0.00370076	0.00190477	9.005e-05	0.00687705
ENSG00000124196	HGNC:16198	chr20	4.0	4.3333	0.01039278	0.00190517	1.905e-05	0.00827805
ENSG00000183733	HGNC:24669	chr2	5.0	7.9517	0.00256237	0.00190676	4.005e-05	0.00814005
ENSG00000095383	HGNC:18026	chr9	22.0	39.934	0.00255912	0.00190687	0.00013405	0.00630605
ENSG00000099795	HGNC:7702	chr19	4.0	5.0988	0.01043868	0.00190986	6.705e-05	0.00696705
ENSG00000206150	HGNC:25285	chr14	0.0	0.32745	0.0018035	0.00191011	1.205e-05	0.00742105
ENSG00000186104	HGNC:20580	chr11	17.0	21.498	0.00300688	0.00191145	0.00012105	0.00654905
ENSG00000109065	HGNC:23133	chr17	7.0	10.641	0.00188715	0.00191168	3.305e-05	0.00868105
ENSG00000110063	HGNC:29812	chr11	12.0	15.65	0.00153743	0.00191183	3.905e-05	0.00874405
ENSG00000150750	HGNC:30527	chr11	5.0	7.6586	0.0032822	0.00191185	5.505e-05	0.00777705
ENSG00000138376	HGNC:952	chr2	36.0	35.02	0.00490921	0.00191199	0.00019405	0.00572705
ENSG00000185900	HGNC:26267	chr8	12.0	12.274	0.00508083	0.00191459	0.00019905	0.00588205
ENSG00000240857	HGNC:19979	chr2	7.0	6.6062	0.00240127	0.00191464	3.305e-05	0.00843405
ENSG00000118162	HGNC:6404	chr19	12.0	24.048	0.00373411	0.00191475	0.00011705	0.00649905
ENSG00000166143	HGNC:14953	chr15	9.0	9.8192	0.00191915	0.00191485	2.905e-05	0.00875105
ENSG00000104341	HGNC:13646	chr8	17.0	13.62	0.00930127	0.00191533	0.00020705	0.00560005
ENSG00000197889	HGNC:23429	chr10	5.0	4.7245	0.00495206	0.00191535	5.105e-05	0.00768705
ENSG00000187634	HGNC:28706	chr1	22.0	24.538	0.00308941	0.00191552	8.705e-05	0.00699105
ENSG00000184012	HGNC:11876	chr21	20.0	30.858	0.00141091	0.00191712	4.805e-05	0.00848005
ENSG00000189195	HGNC:21019	chr1	11.0	45.729	0.00278023	0.0019173	0.00024705	0.00567705
ENSG00000175766	HGNC:33179	chr5	11.0	13.97	0.00305044	0.00191802	8.505e-05	0.00719805
ENSG00000163239	HGNC:25316	chr1	11.0	19.769	0.00181478	0.00191964	4.605e-05	0.00842105
ENSG00000090857	HGNC:30264	chr16	21.0	44.715	0.00147677	0.00191965	0.00016105	0.00623105
ENSG00000184811	HGNC:29592	chr17	5.0	5.4172	0.00281819	0.00192095	2.705e-05	0.00872605
ENSG00000099326	HGNC:13108	chr19	19.0	25.756	0.00184318	0.00192235	6.105e-05	0.00789205
ENSG00000006638	HGNC:11608	chr19	7.0	9.6235	0.00305531	0.00192255	5.805e-05	0.00773205
ENSG00000188888	HGNC:31371	chr17	56.0	85.45	0.00595713	0.00192355	0.00013905	0.00579905
ENSG00000093183	HGNC:16828	chr3	12.0	15.881	0.00904718	0.00192423	0.00029005	0.00513005
ENSG00000251201	HGNC:33945	chr5	7.0	16.537	0.00646229	0.00192443	4.805e-05	0.00762505
ENSG00000183798	HGNC:16123	chr20	12.0	23.508	0.00288828	0.00192625	6.705e-05	0.00732805
ENSG00000184886	HGNC:23213	chr17	10.0	15.779	0.00951564	0.00192654	9.805e-05	0.00643805
ENSG00000125861	HGNC:13821	chr20	5.0	7.0273	0.00195321	0.00192765	3.105e-05	0.00814405
ENSG00000116205	HGNC:26494	chr1	10.0	9.921	0.00204828	0.00192869	6.705e-05	0.00788605
ENSG00000121211	HGNC:24839	chr4	14.0	15.679	0.00597308	0.00193499	0.00015405	0.00609505
ENSG00000104763	HGNC:735	chr8	21.0	25.624	0.00247236	0.0019353	0.00014905	0.00649005
ENSG00000189007	HGNC:21172	chr6	11.0	11.483	0.00378983	0.00193576	0.00018805	0.00601805
ENSG00000203859	HGNC:5218	chr1	11.0	11.07	0.00345354	0.00193585	0.00018605	0.00609105
ENSG00000177674	HGNC:13539	chr1	2.0	6.6172	0.00263307	0.00193593	4.305e-05	0.00824205
ENSG00000177354	HGNC:26973	chr10	20.0	36.152	0.00214949	0.00193822	3.105e-05	0.00825605
ENSG00000138496	HGNC:24118	chr3	19.0	34.248	0.00229234	0.00193881	9.805e-05	0.00731405
ENSG00000110536	HGNC:26965	chr11	4.0	7.8898	0.00147963	0.00194012	1.505e-05	0.00963305
ENSG00000079435	HGNC:6621	chr19	24.0	39.652	0.00289852	0.00194066	0.00014805	0.00638405
ENSG00000004948	HGNC:1440	chr7	18.0	28.778	0.00228661	0.00194141	7.605e-05	0.00739205
ENSG00000169752	HGNC:29862	chr15	3.0	5.7773	0.0019416	0.00194175	3.905e-05	0.00761705
ENSG00000106211	HGNC:5246	chr7	9.0	7.1707	0.01348449	0.00194212	8.705e-05	0.00693605
ENSG00000131127	HGNC:12926	chr4	2.0	4.9651	0.00216794	0.00194241	4.905e-05	0.00818605
ENSG00000159063	HGNC:23161	chr11	18.0	32.148	0.00401054	0.00194408	0.00013205	0.00640005
ENSG00000116663	HGNC:13585	chr1	5.0	12.502	0.00095332	0.00194488	1.905e-05	0.01011805
ENSG00000215784	HGNC:33593	chr1	2.0	2.31	0.00361956	0.00194612	2.905e-05	0.00846405
ENSG00000173578	HGNC:1625	chr3	4.0	8.4368	0.00269774	0.00194624	3.205e-05	0.00872705
ENSG00000172789	HGNC:5127	chr12	7.0	8.3147	0.0123318	0.00194699	0.00014005	0.00614705
ENSG00000139354	HGNC:27475	chr12	23.0	29.044	0.00558802	0.00194715	0.00016005	0.00600705
ENSG00000135336	HGNC:8489	chr6	22.0	44.433	0.00207553	0.00194822	0.00011605	0.00700605
ENSG00000167136	HGNC:3346	chr9	6.0	6.9418	0.00308935	0.00194828	4.405e-05	0.00817005
ENSG00000104522	HGNC:12390	chr8	13.0	18.298	0.00435759	0.00194988	9.105e-05	0.00696905
ENSG00000164002	HGNC:26115	chr1	8.0	10.023	0.00453431	0.00195156	0.00018205	0.00607405
ENSG00000249961	HGNC:26675	chr16	16.0	33.398	0.00379672	0.00195159	4.005e-05	0.00825705
ENSG00000155792	HGNC:22953	chr8	18.0	18.697	0.00338358	0.00195243	0.00019205	0.00607005
ENSG00000114115	HGNC:9919	chr3	8.0	8.1138	0.00474801	0.00195254	0.00010305	0.00693805
ENSG00000179344	HGNC:4944	chr6	5.0	11.14	0.00457274	0.0019526	2.805e-05	0.00855205
ENSG00000145863	HGNC:4080	chr5	19.0	20.23	0.0061998	0.00195313	0.00020005	0.00565005
ENSG00000254221	HGNC:8708	chr5	11.0	25.291	0.00101159	0.00195331	2.705e-05	0.01015505
ENSG00000205246	HGNC:36809	chr19	4.0	5.2334	0.00401234	0.00195349	1.905e-05	0.00899105
ENSG00000135637	HGNC:25889	chr2	25.0	36.836	0.00389699	0.00195356	0.00012605	0.00642705
ENSG00000242616	HGNC:4402	chr9	5.0	2.3513	0.01199289	0.00195401	9.105e-05	0.00685805
ENSG00000143774	HGNC:4693	chr1	8.0	10.068	0.00482442	0.00195489	7.205e-05	0.00733705
ENSG00000110448	HGNC:1685	chr11	19.0	27.056	0.00344331	0.00195621	8.405e-05	0.00719605
ENSG00000197430	HGNC:20707	chr10	5.0	7.1729	0.004151	0.00195649	5.005e-05	0.00797005
ENSG00000187091	HGNC:9060	chr3	33.0	39.994	0.00355445	0.0019569	0.00023405	0.00568105
ENSG00000157219	HGNC:5300	chr7	5.0	10.275	0.00331247	0.00195692	4.505e-05	0.00813405
ENSG00000181009	HGNC:15231	chr11	6.0	5.1974	0.0019794	0.00195728	1.405e-05	0.00764505
ENSG00000188641	HGNC:3012	chr1	40.0	51.798	0.00481866	0.00195766	0.00059105	0.00411005
ENSG00000167664	HGNC:28324	chr19	8.0	8.938	0.00263951	0.00196021	3.905e-05	0.00853405
ENSG00000185585	HGNC:27270	chr9	18.0	26.8	0.00354131	0.00196094	0.00012605	0.00642805
ENSG00000151131	HGNC:28628	chr12	4.0	7.4525	0.00196091	0.00196126	5.505e-05	0.00830005
ENSG00000120370	HGNC:25676	chr1	11.0	18.447	0.00279365	0.00196202	0.00010805	0.00703105
ENSG00000011052	HGNC:33531	chr17	13.0	14.098	0.01476067	0.00196326	0.00011805	0.00630805
ENSG00000180532	HGNC:23709	chr19	7.0	7.8864	0.00296947	0.00196341	3.605e-05	0.00831605
ENSG00000119636	HGNC:19855	chr14	26.0	28.427	0.00414577	0.00196467	0.00014405	0.00643305
ENSG00000136866	HGNC:12863	chr9	20.0	22.041	0.0054453	0.00196634	0.00022805	0.00570805
ENSG00000183304	HGNC:18403	chrX	15.0	10.482	0.01664158	0.00196729	1.405e-05	0.00841905
ENSG00000171595	HGNC:18744	chr17	24.0	34.363	0.0037101	0.00196824	0.00027105	0.00550305
ENSG00000110660	HGNC:23615	chr11	8.0	14.958	0.00336333	0.00196859	0.00010705	0.00732705
ENSG00000164647	HGNC:11378	chr7	10.0	14.189	0.00340417	0.00196899	7.505e-05	0.00755805
ENSG00000116221	HGNC:14034	chr1	15.0	20.705	0.00471082	0.00197225	9.605e-05	0.00692905
ENSG00000165509	HGNC:23798	chrX	21.0	17.294	0.00828315	0.00197474	1.005e-05	0.00925605
ENSG00000100209	HGNC:28913	chr22	6.0	13.019	0.00126062	0.00197576	3.105e-05	0.00941505
ENSG00000221963	HGNC:14870	chr22	1.0	1.0958	0.00220096	0.00197603	2.105e-05	0.00835705
ENSG00000151116	HGNC:30866	chr11	14.0	23.85	0.00257284	0.00197796	0.00014805	0.00669205
ENSG00000126709	HGNC:4054	chr1	3.0	4.3167	0.00529304	0.00197809	3.505e-05	0.00836805
ENSG00000172794	HGNC:30268	chr17	12.0	14.061	0.00307366	0.00197829	9.905e-05	0.00727705
ENSG00000148482	HGNC:20860	chr10	15.0	30.277	0.00185709	0.00197913	0.00013705	0.00703305
ENSG00000075914	HGNC:28112	chr3	10.0	15.533	0.00521185	0.00197954	0.00012405	0.00660705
ENSG00000140009	HGNC:3468	chr14	15.0	22.929	0.00660971	0.0019804	0.00018605	0.00609805
ENSG00000127838	HGNC:9153	chr2	14.0	19.231	0.00469431	0.00198124	0.00015905	0.00629105
ENSG00000197361	HGNC:27537	chr15	4.0	3.8494	0.00536064	0.00198301	8.305e-05	0.00728905
ENSG00000214402	HGNC:34436	chr9	4.0	3.4933	0.00198146	0.00198348	2.005e-05	0.00781505
ENSG00000167139	HGNC:28536	chr15	13.0	19.504	0.00204345	0.0019836	4.505e-05	0.00868405
ENSG00000140545	HGNC:7036	chr15	10.0	18.918	0.0035115	0.00198365	0.00015205	0.00632705
ENSG00000111816	HGNC:3955	chr6	22.0	28.967	0.00783167	0.00198367	0.00022005	0.00560105
ENSG00000239521	HGNC:29954	chr7	4.0	7.2654	0.0113075	0.00198421	4.605e-05	0.00681905
ENSG00000149346	HGNC:16225	chr20	18.0	17.874	0.00292441	0.00198427	0.00018305	0.00638805
ENSG00000167800	HGNC:11593	chr11	13.0	15.162	0.00363277	0.0019848	9.405e-05	0.00722205
ENSG00000198331	HGNC:26558	chr11	14.0	15.256	0.01151016	0.00198511	0.00024705	0.00546605
ENSG00000145103	HGNC:28741	chr3	22.0	29.492	0.00963428	0.00198513	0.00017805	0.00578405
ENSG00000143375	HGNC:17429	chr1	58.0	76.153	0.00861006	0.00198603	0.00042705	0.00471305
ENSG00000188038	HGNC:29811	chr16	6.0	5.9899	0.00287745	0.00198614	3.105e-05	0.00889905
ENSG00000006757	HGNC:24887	chrX	5.0	8.2486	0.00577384	0.00198651	1.505e-05	0.00904605
ENSG00000173267	HGNC:11141	chr10	5.0	6.1793	0.00320706	0.00198744	5.205e-05	0.00822905
ENSG00000233041	HGNC:37226	chr15	1.0	1.9341	0.00202631	0.00198871	1.805e-05	0.00850505
ENSG00000146859	HGNC:21870	chr7	2.0	3.456	0.00266143	0.00198875	2.205e-05	0.00910305
ENSG00000176009	HGNC:740	chr11	3.0	4.3103	0.00868401	0.00198875	8.705e-05	0.00666905
ENSG00000125531	HGNC:28764	chr20	8.0	9.9539	0.0073457	0.00198886	7.205e-05	0.00755605
ENSG00000141161	HGNC:14304	chr17	30.0	44.761	0.0020162	0.00198919	0.00010205	0.00705705
ENSG00000205571	HGNC:11118	chr5	1.0	1.2433	0.00506717	0.00198921	7.205e-05	0.00789405
ENSG00000183729	HGNC:4522	chr8	10.0	6.4964	0.00196573	0.00198982	1.905e-05	0.00783705
ENSG00000134917	HGNC:224	chr11	21.0	33.271	0.00339399	0.00199095	0.00015705	0.00644605
ENSG00000137996	HGNC:17981	chr1	16.0	21.499	0.00169016	0.00199106	7.505e-05	0.00812805
ENSG00000133477	HGNC:25148	chr22	17.0	17.764	0.00430047	0.00199127	8.705e-05	0.00718305
ENSG00000204352	HGNC:31116	chr9	5.0	4.5973	0.0091467	0.00199199	3.405e-05	0.00828805
ENSG00000116213	HGNC:12759	chr1	14.0	27.446	0.00126686	0.00199267	4.405e-05	0.00913905
ENSG00000148677	HGNC:15819	chr10	16.0	18.183	0.00480774	0.00199446	0.00016305	0.00627705
ENSG00000188878	HGNC:24674	chr17	41.0	61.015	0.00362085	0.00199568	0.00031005	0.00534505
ENSG00000132570	HGNC:24474	chr5	3.0	5.6191	0.00143526	0.00199599	3.505e-05	0.00895205
ENSG00000108556	HGNC:1966	chr17	17.0	25.761	0.00138032	0.00199694	4.305e-05	0.00884005
ENSG00000163519	HGNC:30698	chr3	4.0	11.705	0.00347102	0.00199697	6.105e-05	0.00787805
ENSG00000171853	HGNC:24284	chr2	26.0	30.233	0.0038814	0.00199754	0.00022505	0.00588905
ENSG00000108641	HGNC:24123	chr17	6.0	12.446	0.00214886	0.00199765	6.505e-05	0.00812905
ENSG00000165182	HGNC:26356	chrX	11.0	12.919	0.00713133	0.00199787	1.705e-05	0.00891605
ENSG00000204511	HGNC:20668	chr6	4.0	4.2813	0.0032525	0.00199932	2.205e-05	0.00864705
ENSG00000162618	HGNC:20822	chr1	21.0	30.125	0.00291393	0.00200019	0.00010005	0.00723305
ENSG00000111796	HGNC:6373	chr12	11.0	12.597	0.00330577	0.00200247	5.905e-05	0.00807505
ENSG00000035141	HGNC:25911	chr2	5.0	5.5881	0.00550028	0.00200317	4.505e-05	0.00835005
ENSG00000005189	HGNC:24661	chr16			0.005818	0.00200427	6.705e-05	0.00732505
ENSG00000042088	HGNC:18884	chr14	30.0	36.771	0.00360672	0.00200457	0.00024105	0.00577905
ENSG00000134184	HGNC:4632	chr1	6.0	11.695	0.00587283	0.00200469	8.605e-05	0.00725605
ENSG00000176083	HGNC:28495	chr1	12.0	14.502	0.00251799	0.00200504	3.405e-05	0.00874105
ENSG00000184374	HGNC:2220	chr8	6.0	12.275	0.00262111	0.00200528	7.405e-05	0.00790905
ENSG00000173237	HGNC:34442	chr11	7.0	5.4131	0.00588105	0.0020061	6.805e-05	0.00758005
ENSG00000123815	HGNC:19041	chr19	23.0	29.403	0.0031144	0.0020063	0.00023405	0.00593105
ENSG00000164211	HGNC:18058	chr5	14.0	11.262	0.00694499	0.0020067	0.00019505	0.00619005
ENSG00000125863	HGNC:7108	chr20	15.0	17.966	0.00468654	0.0020067	0.00012505	0.00677005
ENSG00000175779	HGNC:33796	chr15	2.0	1.3688	0.00478514	0.00200733	1.305e-05	0.00875005
ENSG00000111846	HGNC:4204	chr6	9.0	13.53	0.00559499	0.00200749	0.00024905	0.00557905
ENSG00000101247	HGNC:15899	chr20	17.0	21.233	0.00623123	0.00200809	0.00037205	0.00505305
ENSG00000185669	HGNC:18411	chr16	4.0	7.9912	0.00818994	0.00201124	7.905e-05	0.00732605
ENSG00000180190	HGNC:26951	chr8	12.0	9.3396	0.00262165	0.00201149	5.505e-05	0.00839405
ENSG00000090432	HGNC:25762	chr1	11.0	15.804	0.00579995	0.00201174	0.00012305	0.00687805
ENSG00000130656	HGNC:4835	chr16	2.0	1.6652	0.0036142	0.00201374	5.205e-05	0.00824705
ENSG00000189320	HGNC:33773	chr7	5.0	6.4624	0.00242313	0.00201395	3.805e-05	0.00887705
ENSG00000127540	HGNC:30862	chr19	5.0	3.2248	0.00675471	0.00201411	2.805e-05	0.00874305
ENSG00000100601	HGNC:17911	chr14	11.0	17.741	0.00360558	0.00201461	0.00016805	0.00662705
ENSG00000213614	HGNC:4878	chr15	22.0	32.303	0.00354775	0.00201547	0.00022905	0.00607405
ENSG00000164708	HGNC:8889	chr7	10.0	9.0684	0.00632063	0.00201548	0.00010605	0.00679405
ENSG00000007341	HGNC:18441	chr1	19.0	32.114	0.00267892	0.00201676	0.00015805	0.00661405
ENSG00000161573	HGNC:10614	chr17	1.0	3.0952	0.00224198	0.00201771	1.305e-05	0.00872305
ENSG00000114956	HGNC:2858	chr2	12.0	16.309	0.00207943	0.00201798	8.205e-05	0.00801905
ENSG00000240230	HGNC:28074	chr7	3.0	2.3783	0.00303538	0.00201836	4.505e-05	0.00846205
ENSG00000169758	HGNC:26763	chr15	14.0	22.296	0.00239338	0.00201936	0.00010705	0.00746705
ENSG00000189362	HGNC:33700	chr2	13.0	20.765	0.00416974	0.00201971	0.00013805	0.00674205
ENSG00000157999	HGNC:22467	chr7	5.0	9.1688	0.00266361	0.0020208	2.005e-05	0.00958305
ENSG00000240654	HGNC:28732	chr13	9.0	12.149	0.00605393	0.00202088	0.00016305	0.00622105
ENSG00000105671	HGNC:18684	chr19	23.0	27.359	0.0056665	0.00202337	0.00018905	0.00611005
ENSG00000197343	HGNC:30899	chr7	5.0	19.049	0.01056229	0.00202391	0.00015905	0.00590005
ENSG00000157119	HGNC:30372	chr3	12.0	21.047	0.00145026	0.00202476	3.905e-05	0.00942405
ENSG00000153048	HGNC:17150	chr16	6.0	5.1329	0.00475938	0.00202506	7.505e-05	0.00765605
ENSG00000213020	HGNC:28766	chr19	2.0	3.9277	0.00242986	0.00202578	4.805e-05	0.00852305
ENSG00000024526	HGNC:22949	chr1	21.0	38.032	0.00278658	0.00202601	0.00014005	0.00674805
ENSG00000188508	HGNC:16313	chr19	3.0	8.4927	0.00167483	0.00202619	2.105e-05	0.01000705
ENSG00000166938	HGNC:28698	chr15	36.0	51.45	0.0022001	0.00202695	0.00030805	0.00555805
ENSG00000145248	HGNC:22980	chr4	4.0	9.823	0.0032818	0.00202701	5.605e-05	0.00820005
ENSG00000135845	HGNC:8960	chr1	5.0	9.9546	0.00656929	0.00202744	0.00018805	0.00617705
ENSG00000204479	HGNC:29485	chr1	9.0	5.2869	0.00186165	0.00202772	1.005e-05	0.00778505
ENSG00000179284	HGNC:26780	chr19	4.0	4.3692	0.00228409	0.00202824	2.305e-05	0.00859405
ENSG00000217555	HGNC:13253	chr16	4.0	5.9073	0.00220514	0.00202879	2.605e-05	0.00941905
ENSG00000130173	HGNC:24933	chr19	14.0	8.7009	0.0130622	0.00203008	0.00022505	0.00575805
ENSG00000123329	HGNC:14130	chr12	23.0	38.955	0.00581839	0.00203046	0.00025205	0.00579405
ENSG00000186352	HGNC:29593	chr4	6.0	8.7749	0.00331203	0.00203056	6.005e-05	0.00824205
ENSG00000167131	HGNC:32700	chr17	6.0	8.6752	0.00327603	0.00203063	4.605e-05	0.00853005
ENSG00000185973	HGNC:18308	chrX	8.0	12.263	0.02410603	0.00203075	8.405e-05	0.00682605
ENSG00000160049	HGNC:2772	chr1	8.0	12.435	0.00283871	0.00203138	7.405e-05	0.00802805
